fiscal_year,aging_bucket,total_amount
2008/2009,0-30 days,1195978283.0
2008/2009,1 to 2 years,3189151980.0
2008/2009,1 to 30 days,0.0
2008/2009,2 to 3 years,2187101335.0
2008/2009,3 to 4 years,1646185499.0
2008/2009,31 to 60 days,311613593.0
2008/2009,4 to 5 years,1973721872.0
2008/2009,61 to 90 days,190005464.0
2008/2009,91 to 365 days,291177193.0
2008/2009,Less than one year,63073565580.0
2008/2009,Not past due,0.0
2008/2009,Over 365 days,2057267123.0
2008/2009,Over 5 years,9327532762.0
2009/2010,0-30 days,1317868093.0
2009/2010,1 to 2 years,3210161595.0
2009/2010,1 to 30 days,0.0
2009/2010,2 to 3 years,2010232834.0
2009/2010,3 to 4 years,2199184538.0
2009/2010,31 to 60 days,322343023.0
2009/2010,4 to 5 years,1780135854.0
2009/2010,61 to 90 days,160019990.0
2009/2010,91 to 365 days,378622806.0
2009/2010,Less than one year,59620638416.0
2009/2010,Not past due,0.0
2009/2010,Over 365 days,2013618614.0
2009/2010,Over 5 years,10232289448.0
2010/2011,0-30 days,1496704238.0
2010/2011,1 to 2 years,5726427231.0
2010/2011,1 to 30 days,0.0
2010/2011,2 to 3 years,4073508061.0
2010/2011,3 to 4 years,3261116004.0
2010/2011,31 to 60 days,382160333.0
2010/2011,4 to 5 years,3208550703.0
2010/2011,61 to 90 days,119416067.0
2010/2011,91 to 365 days,386565564.0
2010/2011,Less than one year,59451680154.0
2010/2011,Not past due,0.0
2010/2011,Over 365 days,1786406112.0
2010/2011,Over 5 years,13891579829.0
2011/2012,0-30 days,1783119425.0
2011/2012,1 to 2 years,5744207719.0
2011/2012,1 to 30 days,0.0
2011/2012,2 to 3 years,4515312487.0
2011/2012,3 to 4 years,3695849593.0
2011/2012,31 to 60 days,222884637.0
2011/2012,4 to 5 years,3041584611.0
2011/2012,61 to 90 days,95534313.0
2011/2012,91 to 365 days,388963453.0
2011/2012,Less than one year,66161826462.0
2011/2012,Not past due,0.0
2011/2012,Over 365 days,1851795740.0
2011/2012,Over 5 years,14847759720.0
2012/2013,0-30 days,1775858832.0
2012/2013,1 to 2 years,6434206424.0
2012/2013,1 to 30 days,0.0
2012/2013,2 to 3 years,4620057093.0
2012/2013,3 to 4 years,4145573641.0
2012/2013,31 to 60 days,181997720.0
2012/2013,4 to 5 years,3380086632.0
2012/2013,61 to 90 days,178149794.0
2012/2013,91 to 365 days,430633933.0
2012/2013,Less than one year,70196417812.0
2012/2013,Not past due,0.0
2012/2013,Over 365 days,1974075995.0
2012/2013,Over 5 years,15693564446.0
2013/2014,0-30 days,1928981621.0
2013/2014,1 to 2 years,7156690840.0
2013/2014,1 to 30 days,0.0
2013/2014,2 to 3 years,4888330498.0
2013/2014,3 to 4 years,4152897018.0
2013/2014,31 to 60 days,155159259.0
2013/2014,4 to 5 years,4063866877.0
2013/2014,61 to 90 days,185524406.0
2013/2014,91 to 365 days,450141860.0
2013/2014,Less than one year,68085532437.0
2013/2014,Not past due,0.0
2013/2014,Over 365 days,2129263341.0
2013/2014,Over 5 years,16831705917.0
2014/2015,0-30 days,1459142044.0
2014/2015,1 to 2 years,7110899188.0
2014/2015,1 to 30 days,0.0
2014/2015,2 to 3 years,5642563058.0
2014/2015,3 to 4 years,4529275948.0
2014/2015,31 to 60 days,180169914.0
2014/2015,4 to 5 years,3870348255.0
2014/2015,61 to 90 days,161232978.0
2014/2015,91 to 365 days,495045788.0
2014/2015,Less than one year,71629514792.0
2014/2015,Not past due,0.0
2014/2015,Over 365 days,2481981086.0
2014/2015,Over 5 years,18854482022.0
2015/2016,0-30 days,1987314947.0
2015/2016,1 to 2 years,7122526674.0
2015/2016,1 to 30 days,0.0
2015/2016,2 to 3 years,5572184339.0
2015/2016,3 to 4 years,5072838141.0
2015/2016,31 to 60 days,110273828.0
2015/2016,4 to 5 years,4072259084.0
2015/2016,61 to 90 days,68516086.0
2015/2016,91 to 365 days,618226186.0
2015/2016,Less than one year,77310061861.0
2015/2016,Not past due,0.0
2015/2016,Over 365 days,2880942834.0
2015/2016,Over 5 years,21027591043.0
2016/2017,0-30 days,0.0
2016/2017,1 to 2 years,8215769761.0
2016/2017,1 to 30 days,241522210.0
2016/2017,2 to 3 years,5731393837.0
2016/2017,3 to 4 years,4938363937.0
2016/2017,31 to 60 days,71681132.0
2016/2017,4 to 5 years,4789695152.0
2016/2017,61 to 90 days,55101933.0
2016/2017,91 to 365 days,310071228.0
2016/2017,Less than one year,80193932239.0
2016/2017,Not past due,2801023064.0
2016/2017,Over 365 days,698907384.0
2016/2017,Over 5 years,20897528507.0
2017/2018,0-30 days,0.0
2017/2018,1 to 2 years,7678941399.0
2017/2018,1 to 30 days,281659594.0
2017/2018,2 to 3 years,6797321768.0
2017/2018,3 to 4 years,5079581151.0
2017/2018,31 to 60 days,89668743.0
2017/2018,4 to 5 years,4937795246.0
2017/2018,61 to 90 days,50243376.0
2017/2018,91 to 365 days,324730892.0
2017/2018,Less than one year,90654668405.0
2017/2018,Not past due,5350476336.0
2017/2018,Over 365 days,741266768.0
2017/2018,Over 5 years,22231654957.0
2018/2019,0-30 days,0.0
2018/2019,1 to 2 years,7813139743.0
2018/2019,1 to 30 days,200663839.0
2018/2019,2 to 3 years,5855837635.0
2018/2019,3 to 4 years,5899196411.0
2018/2019,31 to 60 days,73894847.0
2018/2019,4 to 5 years,4743307764.0
2018/2019,61 to 90 days,62024009.0
2018/2019,91 to 365 days,353760672.0
2018/2019,Less than one year,92967829675.0
2018/2019,Not past due,3113549704.0
2018/2019,Over 365 days,882011417.0
2018/2019,Over 5 years,24840956395.0
2019/2020,0-30 days,0.0
2019/2020,1 to 2 years,10045430309.0
2019/2020,1 to 30 days,160524709.0
2019/2020,2 to 3 years,6110969526.0
2019/2020,3 to 4 years,5326623950.0
2019/2020,31 to 60 days,83248738.0
2019/2020,4 to 5 years,5755789452.0
2019/2020,61 to 90 days,62416050.0
2019/2020,91 to 365 days,305043929.0
2019/2020,Less than one year,82880807553.0
2019/2020,Not past due,3858866653.0
2019/2020,Over 365 days,956955721.0
2019/2020,Over 5 years,26636269537.0
2020/2021,0-30 days,0.0
2020/2021,1 to 2 years,8131796625.0
2020/2021,1 to 30 days,123977371.0
2020/2021,2 to 3 years,8169380605.0
2020/2021,3 to 4 years,6069513043.0
2020/2021,31 to 60 days,86422119.0
2020/2021,4 to 5 years,5455941527.0
2020/2021,61 to 90 days,91306827.0
2020/2021,91 to 365 days,305825358.0
2020/2021,Less than one year,101580603899.0
2020/2021,Not past due,15203588553.0
2020/2021,Over 365 days,955868492.0
2020/2021,Over 5 years,31520382774.0
2021/2022,0-30 days,0.0
2021/2022,1 to 2 years,9437675892.0
2021/2022,1 to 30 days,726216896.0
2021/2022,2 to 3 years,7100138760.0
2021/2022,3 to 4 years,7484436613.0
2021/2022,31 to 60 days,41342258.0
2021/2022,4 to 5 years,5794184810.0
2021/2022,61 to 90 days,34344764.0
