fiscal_year,total_amount
2008/2009,85977003684.0
2009/2010,84088628211.0
2010/2011,95073010296.0
2011/2012,104197993160.0
2012/2013,110878608322.0
2013/2014,111699836074.0
2014/2015,117055173073.0
2015/2016,133038733718.0
2016/2017,135808016909.0
2017/2018,152909315197.0
2018/2019,153965003857.0
2019/2020,152130377619.0
2020/2021,178999954356.0
2021/2022,200711739543.0
2022/2023,204544274642.0
2023/2024,230286847206.0
2024/2025,244807570522.0
category/categorie/fra,0.0
section-lvl1/niv1/eng,0.0
section-lvl1/niv1/fra,0.0
section-lvl2/niv2/fra,0.0
